SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
Bewani-Torricelli Fault Zone Deep,BTFZD,area,11.4,1.0,1.0,100.0,-999.0,-999.0,60.0,200.0,400,4.5,5.55,8.3,8.1,8.5,140209.7,204332.5,93689.16,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,300.0,45.0,90.0,32.92,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Owen Stanley Fault Zone Deep,OSFZD,area,11.4,1.0,1.0,100.0,-999.0,-999.0,60.0,180.0,380,4.5,5.55,8.3,8.1,8.5,34208.09,38363.59,29693.33,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,300.0,45.0,90.0,36.15,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Mamberamo Thrust Belt Deep,MTBD,area,11.5,1.0,1.0,100.0,-999.0,-999.0,60.0,130.0,330,4.5,5.55,8.3,8.1,8.5,43461.19,54144.85,32202.32,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,300.0,45.0,90.0,41.27,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Bismake Sea Seismic Lineation,BSSL,area,9.0,1.0,1.0,20.0,-999.0,-999.0,1.0,50.0,999,4.5,5.55,8.2,8.0,8.4,148215.6,219549.2,98808.31,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,100.0,90.0,0.0,35.34,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Wandamen Ransiki Fault Zone,WRFS,area,9.0,1.0,1.0,10.0,-999.0,-999.0,0.0,35.0,999,4.5,5.55,7.2,7.0,7.4,18240.77,20071.78,16255.62,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,160.0,90.0,0.0,26.28,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Cendrawasih,CDW,area,9.0,1.0,1.0,10.0,-999.0,-999.0,0.0,35.0,999,4.5,5.55,7.6,7.4,7.8,9779.512,7799.321,11050.38,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,50.0,40.0,90.0,21.33,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Waropen,WRP,area,9.0,1.0,1.0,10.0,-999.0,-999.0,0.0,35.0,999,4.5,5.55,7.8,7.6,8.0,16691.16,16794.71,15979.83,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,90.0,30.0,90.0,39.74,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Lengguru,LGR,area,9.0,1.0,1.0,10.0,-999.0,-999.0,0.0,35.0,999,4.5,5.55,7.0,6.8,7.2,4804.374,2889.172,6561.324,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,155.0,45.0,-90.0,24.71,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Banda 40-100km,BS_40_100,area,11.1,1.0,1.0,60.0,-999.0,-999.0,40.0,100.0,300,4.5,5.55,8.3,8.1,8.5,174913.0,256921.6,116185.4,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,0.0,45.0,-90.0,172.23,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Seram 40-100km,SRM_40_100,area,11.3,1.0,1.0,60.0,-999.0,-999.0,40.0,100.0,300,4.5,5.55,8.3,8.1,8.5,23039.38,25608.78,20206.05,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,285.0,45.0,-90.0,32.05,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Banda 100-200km,BS_100_200,area,11.1,1.0,1.0,150.0,-999.0,-999.0,100.0,200.0,400,4.5,5.55,8.3,8.1,8.5,66987.26,95169.45,45605.1,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,0.0,45.0,-90.0,101.32,70.91,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Banda 200-300km,BS_200_300,area,11.1,1.0,1.0,250.0,-999.0,-999.0,200.0,300.0,500,4.5,5.55,8.3,8.1,8.5,76908.9,74938.27,74591.52,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,0.0,45.0,-90.0,169.74,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Seram 100-200km,SRM_100_200,area,11.3,1.0,1.0,150.0,-999.0,-999.0,100.0,200.0,400,4.5,5.55,8.3,8.1,8.5,8502.863,7553.667,8898.926,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,285.0,45.0,-90.0,30.42,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Seram 200-300km,SRM_200_300,area,11.3,1.0,1.0,250.0,-999.0,-999.0,200.0,300.0,500,4.5,5.55,8.3,8.1,8.5,6275.118,6275.118,6275.118,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,285.0,45.0,-90.0,30.42,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Timor 40-100km,TMR_40_100,area,11.3,1.0,1.0,60.0,-999.0,-999.0,40.0,100.0,300,4.5,5.55,8.3,8.1,8.5,38849.42,43181.98,34071.81,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,80.0,45.0,-90.0,163.05,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Nusa Tenggara 40-100km,NT_40_100,area,11.3,1.0,1.0,60.0,-999.0,-999.0,40.0,100.0,300,4.5,5.55,8.3,8.1,8.5,82216.77,112372.5,57498.05,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,85.0,45.0,-90.0,166.76,23.83,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Timor 100-200km,TMR_100_200,area,11.3,1.0,1.0,150.0,-999.0,-999.0,100.0,200.0,400,4.5,5.55,8.3,8.1,8.5,15904.54,12348.86,18350.21,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,80.0,45.0,-90.0,161.67,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Nusa Tenggara 100-200km,NT_100_200,area,11.3,1.0,1.0,150.0,-999.0,-999.0,100.0,200.0,400,4.5,5.55,8.3,8.1,8.5,47824.36,49058.34,44646.02,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,85.0,45.0,-90.0,170.97,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Banda 300-400km,BS_300_400,area,11.2,1.0,1.0,350.0,-999.0,-999.0,300.0,400.0,600,4.5,5.55,8.3,8.1,8.5,43949.19,53152.69,33114.15,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,0.0,45.0,-90.0,29.05,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Timor 200-300km,TMR_200_300,area,11.3,1.0,1.0,250.0,-999.0,-999.0,200.0,300.0,500,4.5,5.55,8.3,8.1,8.5,14412.83,11190.64,16629.11,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,80.0,45.0,-90.0,22.52,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Nusa Tenggara 200-300km,NT_200_300,area,11.3,1.0,1.0,250.0,-999.0,-999.0,200.0,300.0,500,4.5,5.55,8.3,8.1,8.5,26743.27,25826.71,26206.43,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,85.0,45.0,-90.0,129.5,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Timor 300-400km,TMR_300_400,area,11.2,1.0,1.0,350.0,-999.0,-999.0,300.0,400.0,600,4.5,5.55,8.3,8.1,8.5,21735.67,21178.74,21080.74,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,80.0,45.0,-90.0,22.52,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Nusa Tenggara 300-400km,NT_300_400,area,11.2,1.0,1.0,350.0,-999.0,-999.0,300.0,400.0,600,4.5,5.55,8.3,8.1,8.5,41005.73,32123.48,46825.65,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,85.0,45.0,-90.0,170.17,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Banda 400-500km,BS_400_500,area,11.2,1.0,1.0,450.0,-999.0,-999.0,400.0,500.0,700,4.5,5.55,8.3,8.1,8.5,157018.7,232785.5,103560.5,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,0.0,45.0,-90.0,68.42,66.28,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Banda_500_600km,BS_500_600,area,11.2,1.0,1.0,550.0,-999.0,-999.0,500.0,600.0,800,4.5,5.55,8.3,8.1,8.5,157025.5,228035.9,105201.8,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,0.0,45.0,-90.0,68.42,66.28,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Banda Sea,BS,area,9.0,1.0,1.0,10.0,-999.0,-999.0,0.0,40.0,999,4.5,5.55,8.0,7.8,8.2,84604.99,118209.9,58959.82,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,225.0,30.0,90.0,172.23,66.63,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
