#File_name	N0	b_value	Area
D_119.50_-23.00_0.25	75.32	1.12	2838
D_119.50_-23.50_0.25	261.71	1.12	2828
D_119.50_-27.00_0.25	25.94	1.12	2749
D_119.50_-27.50_0.25	25.80	1.12	2737
D_119.50_-28.50_0.25	18.41	1.12	2712
D_119.50_-30.00_0.25	18.41	1.12	2673
D_119.50_-31.50_0.25	37.58	1.12	2633
D_119.50_-32.00_0.25	70.95	1.12	2619
D_119.50_-32.50_0.25	106.77	1.12	2605
D_119.50_-33.00_0.25	114.51	1.12	2591
D_119.50_-33.50_0.25	22.50	1.12	2576
D_119.50_-34.00_0.25	26.21	1.12	2561
D_119.50_-34.50_0.25	26.11	0.95	2546
D_119.50_-35.00_0.25	19.35	1.09	2531
D_120.00_-16.50_0.25	947.13	0.99	2953
D_120.00_-17.50_0.25	64.57	0.95	2938
D_120.00_-18.00_0.25	60.19	0.95	2930
D_120.00_-18.50_0.25	40.40	0.95	2922
D_120.00_-19.00_0.25	11.16	0.95	2913
D_120.00_-20.50_0.25	215.19	1.12	2887
D_120.00_-21.00_0.25	1018.12	1.12	2877
D_120.00_-21.50_0.25	291.95	1.12	2868
D_120.00_-22.00_0.25	118.10	1.12	2858
D_120.00_-22.50_0.25	291.46	1.12	2848
D_120.00_-23.50_0.25	26.64	1.12	2828
D_120.00_-26.00_0.25	62.42	1.12	2772
D_120.00_-26.50_0.25	37.70	1.12	2761
D_120.00_-27.50_0.25	25.22	1.12	2737
D_120.00_-28.50_0.25	125.41	1.12	2712
D_120.00_-30.50_0.25	60.56	1.12	2660
D_120.00_-32.00_0.25	96.56	1.12	2619
D_120.00_-33.00_0.25	130.53	1.12	2591
D_120.00_-33.50_0.25	60.23	1.12	2576
D_120.00_-34.00_0.25	12.41	0.95	2561
D_120.00_-37.00_0.25	38.57	1.09	2469
D_120.50_-14.00_0.25	979.47	1.09	2988
D_120.50_-16.50_0.25	109.32	0.99	2953
D_120.50_-17.00_0.25	370.08	0.99	2946
D_120.50_-17.50_0.25	57.09	0.95	2938
D_120.50_-18.00_0.25	10.00	0.95	2930
D_120.50_-18.50_0.25	898.56	0.95	2922
D_120.50_-19.00_0.25	8.03	0.95	2913
D_120.50_-19.50_0.25	36.66	0.95	2905
D_120.50_-20.50_0.25	326.12	1.12	2887
D_120.50_-21.00_0.25	609.87	1.12	2877
D_120.50_-21.50_0.25	593.15	1.12	2868
D_120.50_-22.00_0.25	219.76	1.12	2858
D_120.50_-22.50_0.25	76.84	1.12	2848
D_120.50_-23.00_0.25	125.90	1.12	2838
D_120.50_-23.50_0.25	53.22	1.12	2828
D_120.50_-26.50_0.25	54.95	1.12	2761
D_120.50_-27.00_0.25	25.94	1.12	2749
D_120.50_-27.50_0.25	28.30	1.12	2737
D_120.50_-28.00_0.25	184.26	1.12	2725
D_120.50_-28.50_0.25	27.13	1.12	2712
D_120.50_-29.50_0.25	18.94	1.12	2687
D_120.50_-31.50_0.25	66.41	1.12	2633
D_120.50_-33.00_0.25	23.84	1.12	2591
D_120.50_-33.50_0.25	370.70	1.12	2576
D_120.50_-34.00_0.25	7.88	0.95	2561
D_120.50_-36.50_0.25	49.64	1.09	2485
D_121.00_-16.00_0.25	71.84	0.99	2961
D_121.00_-16.50_0.25	192.36	0.95	2953
D_121.00_-18.50_0.25	55.65	0.95	2922
D_121.00_-19.00_0.25	48.90	0.95	2913
D_121.00_-19.50_0.25	44.48	0.95	2905
D_121.00_-20.00_0.25	10.00	0.95	2896
D_121.00_-20.50_0.25	29.08	0.95	2887
D_121.00_-21.00_0.25	378.90	1.12	2877
D_121.00_-21.50_0.25	591.81	1.12	2868
D_121.00_-22.00_0.25	83.42	1.12	2858
D_121.00_-22.50_0.25	216.76	1.12	2848
D_121.00_-27.00_0.25	25.94	1.12	2749
D_121.00_-28.00_0.25	40.73	1.12	2725
D_121.00_-30.00_0.25	18.94	1.12	2673
D_121.00_-30.50_0.25	272.78	1.12	2660
D_121.00_-31.00_0.25	288.19	1.12	2647
D_121.00_-31.50_0.25	23.84	1.12	2633
D_121.00_-32.00_0.25	23.84	1.12	2619
D_121.00_-33.00_0.25	92.28	1.12	2591
D_121.00_-33.50_0.25	24.70	0.95	2576
D_121.00_-36.00_0.25	53.75	1.09	2501
D_121.50_-15.00_0.25	127.17	0.99	2975
D_121.50_-15.50_0.25	184.80	0.99	2968
D_121.50_-16.00_0.25	120.72	0.99	2961
D_121.50_-16.50_0.25	29.89	0.95	2953
D_121.50_-17.00_0.25	74.61	0.99	2946
D_121.50_-17.50_0.25	73.11	0.99	2938
D_121.50_-18.00_0.25	15.50	0.95	2930
D_121.50_-18.50_0.25	19.41	0.95	2922
D_121.50_-19.00_0.25	60.30	0.95	2913
D_121.50_-20.00_0.25	12.45	0.95	2896
D_121.50_-20.50_0.25	24.01	0.95	2887
D_121.50_-21.00_0.25	8.03	0.95	2877
D_121.50_-21.50_0.25	11.16	0.95	2868
D_121.50_-26.00_0.25	161.90	1.12	2772
D_121.50_-29.00_0.25	66.29	1.12	2699
D_121.50_-30.50_0.25	577.26	1.12	2660
D_121.50_-31.00_0.25	704.71	1.12	2647
D_121.50_-31.50_0.25	39.09	1.12	2633
D_121.50_-32.00_0.25	72.98	1.12	2619
D_121.50_-32.50_0.25	24.07	1.12	2605
D_121.50_-33.00_0.25	47.34	1.12	2591
D_121.50_-33.50_0.25	41.88	0.95	2576
D_121.50_-36.00_0.25	49.64	1.09	2501
D_121.50_-36.50_0.25	127.74	1.09	2485
D_122.00_-12.50_0.25	290.61	0.99	3006
D_122.00_-13.00_0.25	237.65	0.99	3000
D_122.00_-13.50_0.25	134.26	0.99	2994
D_122.00_-14.00_0.25	690.13	0.99	2988
D_122.00_-14.50_0.25	401.97	0.99	2981
D_122.00_-17.00_0.25	95.60	0.95	2946
D_122.00_-17.50_0.25	59.88	0.99	2938
D_122.00_-18.00_0.25	23.06	0.99	2930
D_122.00_-18.50_0.25	17.50	0.95	2922
D_122.00_-19.00_0.25	21.52	0.95	2913
D_122.00_-20.00_0.25	19.29	0.95	2896
D_122.00_-21.50_0.25	12.45	0.95	2868
D_122.00_-22.00_0.25	19.29	0.95	2858
D_122.00_-28.00_0.25	54.78	1.12	2725
D_122.00_-29.00_0.25	44.58	1.12	2699
D_122.00_-30.50_0.25	127.74	1.12	2660
D_122.00_-31.00_0.25	73.02	1.12	2647
D_122.00_-31.50_0.25	152.46	1.12	2633
D_122.00_-32.50_0.25	190.68	1.12	2605
D_122.00_-33.00_0.25	33.29	0.95	2591
D_122.00_-36.00_0.25	84.15	1.09	2501
D_122.00_-36.50_0.25	138.77	1.09	2485
D_122.50_-13.00_0.25	166.43	0.99	3000
D_122.50_-13.50_0.25	106.84	0.99	2994
D_122.50_-17.00_0.25	18.50	0.95	2946
D_122.50_-17.50_0.25	140.26	0.99	2938
D_122.50_-18.00_0.25	89.74	0.99	2930
D_122.50_-18.50_0.25	103.38	0.95	2922
D_122.50_-19.00_0.25	48.21	0.95	2913
D_122.50_-20.00_0.25	15.50	0.95	2896
D_122.50_-21.00_0.25	12.45	0.95	2877
D_122.50_-22.50_0.25	8.96	0.95	2848
D_122.50_-28.50_0.25	55.99	1.12	2712
D_122.50_-32.00_0.25	35.22	0.95	2619
D_122.50_-32.50_0.25	406.63	0.95	2605
D_122.50_-33.50_0.25	10.08	0.95	2576
D_122.50_-37.00_0.25	136.08	1.09	2469
D_123.00_-12.50_0.25	166.43	0.99	3006
D_123.00_-13.00_0.25	134.26	0.99	3000
D_123.00_-14.00_0.25	123.33	0.99	2988
D_123.00_-14.50_0.25	60.36	0.99	2981
D_123.00_-15.50_0.25	28.66	0.95	2968
D_123.00_-17.50_0.25	115.68	0.99	2938
D_123.00_-18.00_0.25	321.59	0.99	2930
D_123.00_-18.50_0.25	144.63	0.95	2922
D_123.00_-19.00_0.25	25.44	0.95	2913
D_123.00_-19.50_0.25	16.44	0.95	2905
D_123.00_-20.00_0.25	19.64	0.95	2896
D_123.00_-20.50_0.25	11.16	0.95	2887
D_123.00_-21.50_0.25	15.37	0.95	2868
D_123.00_-22.50_0.25	11.16	0.95	2848
D_123.00_-26.00_0.25	90.29	1.12	2772
D_123.00_-27.50_0.25	65.09	1.12	2737
D_123.00_-28.00_0.25	39.56	1.12	2725
D_123.00_-28.50_0.25	18.94	1.12	2712
D_123.00_-30.50_0.25	208.18	1.12	2660
D_123.00_-31.50_0.25	32.51	0.95	2633
D_123.00_-32.00_0.25	32.12	0.95	2619
D_123.00_-32.50_0.25	24.47	0.95	2605
D_123.00_-33.50_0.25	15.91	0.95	2576
D_123.00_-35.50_0.25	108.48	1.09	2516
D_123.50_-12.00_0.25	207.39	0.99	3011
D_123.50_-13.00_0.25	95.41	0.99	3000
D_123.50_-15.00_0.25	81.03	0.95	2975
D_123.50_-16.50_0.25	52.11	0.95	2953
D_123.50_-17.00_0.25	44.83	0.95	2946
D_123.50_-17.50_0.25	93.49	0.99	2938
D_123.50_-18.00_0.25	102.14	0.99	2930
D_123.50_-18.50_0.25	24.01	0.95	2922
D_123.50_-19.00_0.25	147.04	0.95	2913
D_123.50_-20.00_0.25	14.01	0.95	2896
D_123.50_-20.50_0.25	17.29	0.95	2887
D_123.50_-22.00_0.25	15.50	0.95	2858
D_123.50_-27.00_0.25	112.47	1.12	2749
D_123.50_-28.00_0.25	89.40	1.12	2725
D_123.50_-29.50_0.25	382.59	1.12	2687
D_123.50_-30.00_0.25	277.76	1.12	2673
D_123.50_-30.50_0.25	253.58	1.12	2660
D_123.50_-31.00_0.25	16.69	0.95	2647
D_123.50_-31.50_0.25	47.11	0.95	2633
D_123.50_-35.00_0.25	169.38	1.09	2531
D_124.00_-12.50_0.25	73.81	0.99	3006
D_124.00_-14.00_0.25	62.86	0.99	2988
D_124.00_-15.50_0.25	131.96	1.12	2968
D_124.00_-16.00_0.25	21.78	0.95	2961
D_124.00_-16.50_0.25	33.76	0.95	2953
